prime_minister_candidate_name,county,num,total_vote_count,offline_vote_count,online_vote_count
Márki-Zay Péter,Szabolcs-Szatmár-Bereg,2,463,238,225
Fekete-Győr András,Szabolcs-Szatmár-Bereg,2,67,37,30
Dobrev Klára,Szabolcs-Szatmár-Bereg,3,877,771,106
Jakab Péter,Szabolcs-Szatmár-Bereg,3,811,624,187
Karácsony Gergely,Szabolcs-Szatmár-Bereg,3,558,399,159
Márki-Zay Péter,Szabolcs-Szatmár-Bereg,3,389,181,208
Fekete-Győr András,Szabolcs-Szatmár-Bereg,3,30,10,20
Dobrev Klára,Szabolcs-Szatmár-Bereg,4,786,694,92
Karácsony Gergely,Szabolcs-Szatmár-Bereg,4,494,369,125
Jakab Péter,Szabolcs-Szatmár-Bereg,4,459,309,150
Márki-Zay Péter,Szabolcs-Szatmár-Bereg,4,310,172,138
Fekete-Győr András,Szabolcs-Szatmár-Bereg,4,41,20,21
Jakab Péter,Szabolcs-Szatmár-Bereg,5,1599,1436,163
Dobrev Klára,Szabolcs-Szatmár-Bereg,5,927,846,81
Karácsony Gergely,Szabolcs-Szatmár-Bereg,5,544,439,105
Márki-Zay Péter,Szabolcs-Szatmár-Bereg,5,263,136,127
Fekete-Győr András,Szabolcs-Szatmár-Bereg,5,30,22,8
Karácsony Gergely,Szabolcs-Szatmár-Bereg,6,948,823,125
Jakab Péter,Szabolcs-Szatmár-Bereg,6,909,736,173
Dobrev Klára,Szabolcs-Szatmár-Bereg,6,868,801,67
Márki-Zay Péter,Szabolcs-Szatmár-Bereg,6,350,215,135
Fekete-Győr András,Szabolcs-Szatmár-Bereg,6,59,27,32
Dobrev Klára,Tolna,1,1663,1560,103
Karácsony Gergely,Tolna,1,1240,1063,177
Márki-Zay Péter,Tolna,1,877,645,232
Jakab Péter,Tolna,1,826,711,115
Fekete-Győr András,Tolna,1,117,82,35
Dobrev Klára,Tolna,2,1362,1274,88
Jakab Péter,Tolna,2,491,382,109
Márki-Zay Péter,Tolna,2,479,301,178
Karácsony Gergely,Tolna,2,407,283,124
Fekete-Győr András,Tolna,2,112,77,35
Dobrev Klára,Tolna,3,1047,907,140
Jakab Péter,Tolna,3,548,416,132
Márki-Zay Péter,Tolna,3,497,280,217
Karácsony Gergely,Tolna,3,490,331,159
Fekete-Győr András,Tolna,3,63,36,27
Dobrev Klára,Vas,1,3283,3121,162
Karácsony Gergely,Vas,1,2106,1771,335
Márki-Zay Péter,Vas,1,1269,915,354
